uf,cargo,url_g1,resumo,candidaturas
MA,Governador,https://g1.globo.com/ma/maranhao/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-do-maranhao.ghtml,São 8 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,8
MG,Governador,https://g1.globo.com/mg/minas-gerais/eleicoes/2026/noticia/2026/08/28/eleicoes-2026-veja-todos-os-candidatos-ao-governo-de-minas-gerais.ghtml,São 11 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,11
MS,Governador,https://g1.globo.com/ms/mato-grosso-do-sul/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-de-mato-grosso-do-sul.ghtml,São 8 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,8
MT,Governador,https://g1.globo.com/mt/mato-grosso/eleicoes/2026/noticia/2026/09/02/eleicoes-2026-veja-todos-os-candidatos-ao-governo-de-mato-grosso.ghtml,São 7 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,7
PA,Governador,https://g1.globo.com/pa/para/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-do-para.ghtml,São 6 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,6
PB,Governador,https://g1.globo.com/pb/paraiba/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-da-paraiba.ghtml,São 6 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,6
PE,Governador,https://g1.globo.com/pe/pernambuco/eleicoes/2026/noticia/2026/08/28/eleicoes-2026-veja-todos-os-candidatos-ao-governo-de-pernambuco.ghtml,São 8 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,8
PI,Governador,https://g1.globo.com/pi/piaui/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-do-piaui.ghtml,São 11 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,11
PR,Governador,https://g1.globo.com/pr/parana/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-do-parana.ghtml,São 8 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,8
RJ,Governador,https://g1.globo.com/rj/rio-de-janeiro/eleicoes/2026/noticia/2026/08/28/eleicoes-2026-veja-todos-os-candidatos-ao-governo-do-rio-de-janeiro.ghtml,São 9 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,9
RN,Governador,https://g1.globo.com/rn/rio-grande-do-norte/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-do-rio-grande-do-norte.ghtml,São 9 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,9
RO,Governador,https://g1.globo.com/ro/rondonia/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-de-rondonia.ghtml,São 6 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,6
RR,Governador,https://g1.globo.com/rr/roraima/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-de-roraima.ghtml,São 5 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,5
RS,Governador,https://g1.globo.com/rs/rio-grande-do-sul/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-do-rio-grande-do-sul.ghtml,São 7 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,7
SC,Governador,https://g1.globo.com/sc/santa-catarina/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-de-santa-catarina.ghtml,São 8 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,8
SE,Governador,https://g1.globo.com/se/sergipe/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-de-sergipe.ghtml,São 6 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,6
SP,Governador,https://g1.globo.com/sp/sao-paulo/eleicoes/2026/noticia/2026/08/28/eleicoes-2026-veja-todos-os-candidatos-ao-governo-de-sao-paulo.ghtml,São 7 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,7
TO,Governador,https://g1.globo.com/to/tocantins/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-do-tocantins.ghtml,São 7 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,7
AC,Senador,https://g1.globo.com/ac/acre/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-senado-pelo-acre.ghtml,AC tem 8 candidatos na disputa por duas vagas; primeiro turno será em 4 de outubro.,8
AL,Senador,https://g1.globo.com/al/alagoas/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-senado-por-alagoas.ghtml,AL tem 7 candidatos na disputa por duas vagas; primeiro turno será em 4 de outubro.,7
AM,Senador,https://g1.globo.com/am/amazonas/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-senado-pelo-amazonas.ghtml,AM tem 9 candidatos na disputa por duas vagas; primeiro turno será em 4 de outubro.,9
AP,Senador,https://g1.globo.com/ap/amapa/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-senado-pelo-amapa.ghtml,AP tem 9 candidatos na disputa por duas vagas; primeiro turno será em 4 de outubro.,9
BA,Senador,https://g1.globo.com/politica/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-os-candidatos-ao-senado-de-todos-os-estados-e-do-df.ghtml#bahia,Bahia tem 8 candidatos na disputa por duas vagas no Senado Federal; votação será em 4 de outubro.,8
CE,Senador,https://g1.globo.com/ce/ceara/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-senado-pelo-ceara.ghtml,CE tem 8 candidatos na disputa por duas vagas; primeiro turno será em 4 de outubro.,8
DF,Senador,https://g1.globo.com/df/distrito-federal/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-senado-pelo-distrito-federal.ghtml,DF tem 13 candidatos na disputa por duas vagas; primeiro turno será em 4 de outubro.,13
ES,Senador,https://g1.globo.com/es/espirito-santo/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-senado-pelo-espirito-santo.ghtml,ES tem 11 candidatos na disputa por duas vagas; primeiro turno será em 4 de outubro.,11
GO,Senador,https://g1.globo.com/go/goias/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-senado-por-goias.ghtml,GO tem 11 candidatos na disputa por duas vagas; primeiro turno será em 4 de outubro.,11
MA,Senador,https://g1.globo.com/ma/maranhao/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-senado-pelo-maranhao.ghtml,MA tem 11 candidatos na disputa por duas vagas; primeiro turno será em 4 de outubro.,11
MG,Senador,https://g1.globo.com/mg/minas-gerais/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-senado-por-minas-gerais.ghtml,MG tem 16 candidatos na disputa por duas vagas; primeiro turno será em 4 de outubro.,16
